mutant, misMatchPercentage, isSameDimensions, analysisTime
1, 0.25, true, 101
1, 0.25, true, 98
1, 98.89, true, 168
1, 100.00, true, 180
2, 0.25, true, 103
2, 0.25, true, 99
2, 98.35, true, 183
2, 100.00, true, 188
3, 0.25, true, 102
3, 0.25, true, 97
3, 98.35, true, 179
3, 100.00, true, 179
4, 0.25, true, 101
4, 0.25, true, 99
4, 98.35, true, 181
4, 100.00, true, 172
5, 0.25, true, 107
5, 0.25, true, 101
5, 98.35, true, 180
5, 100.00, true, 172
6, 0.25, true, 105
6, 0.25, true, 105
6, 98.35, true, 201
6, 100.00, true, 192
7, 0.25, true, 139
7, 0.25, true, 101
7, 98.35, true, 182
7, 100.00, true, 186
8, 0.25, true, 129
8, 0.25, true, 112
8, 98.35, true, 188
8, 100.00, true, 200
9, 0.37, true, 109
9, 0.25, true, 113
9, 98.35, true, 186
9, 100.00, true, 177
10, 0.25, true, 106
10, 0.25, true, 107
10, 98.35, true, 217
10, 100.00, true, 199
11, 0.25, true, 104
11, 0.25, true, 99
11, 98.35, true, 185
11, 100.00, true, 289
12, 0.25, true, 101
12, 0.25, true, 99
12, 98.35, true, 179
12, 100.00, true, 175
13, 0.25, true, 132
13, 0.25, true, 97
13, 98.35, true, 178
13, 100.00, true, 178
14, 0.25, true, 101
14, 0.25, true, 104
14, 98.35, true, 174
14, 100.00, true, 181
15, 0.24, true, 101
15, 0.25, true, 101
15, 98.35, true, 175
15, 100.00, true, 180
1, 0.25, true, 100
1, 0.25, true, 102
1, 98.89, true, 168
1, 100.00, true, 181
2, 0.25, true, 109
2, 0.25, true, 99
2, 98.89, true, 179
2, 100.00, true, 178
3, 0.25, true, 104
3, 0.25, true, 103
3, 98.89, true, 176
3, 100.00, true, 181
4, 0.25, true, 110
4, 0.25, true, 102
4, 98.89, true, 179
4, 100.00, true, 182
5, 0.26, true, 100
5, 0.26, true, 100
5, 98.89, true, 177
5, 100.00, true, 180
6, 99.86, true, 183
6, 93.44, true, 165
6, 90.44, true, 172
6, 93.07, true, 170
7, 93.34, true, 165
7, 93.44, true, 163
7, 93.44, true, 171
7, 93.44, true, 163
8, 0.26, true, 102
8, 0.26, true, 100
8, 0.77, true, 102
8, 0.26, true, 104
9, 0.80, true, 95
9, 0.26, true, 98
